Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
SRR11308339_666916,Extracellular,Signal peptide,Soluble,0.2410999983549118,0.1867000013589859,0.8590999841690063,0.10949999839067459,0.16189999878406525,0.04540000110864639,0.12919999659061432,0.298799991607666,0.2337999939918518,0.002199999988079071,0.27869999408721924,0.03709999844431877,0.3668000102043152,0.8353999853134155
SRR11534412_304166,Extracellular,Signal peptide,Soluble,0.23770000040531158,0.10779999941587448,0.8429999947547913,0.08219999819993973,0.20319999754428864,0.030899999663233757,0.179299995303154,0.25369998812675476,0.1534000039100647,0.004600000102072954,0.34880000352859497,0.05939999967813492,0.2745000123977661,0.8137999773025513
SRR11659431_25115,Extracellular,Signal peptide,Soluble,0.19709999859333038,0.11400000005960464,0.8701000213623047,0.21469999849796295,0.10559999942779541,0.11620000004768372,0.14839999377727509,0.20200000703334808,0.34549999237060547,0.00430000014603138,0.2558000087738037,0.20970000326633453,0.7149999737739563,0.5623999834060669
SRR11729891_316159,Extracellular,Signal peptide,Soluble,0.20430000126361847,0.10779999941587448,0.9124000072479248,0.05810000002384186,0.27320000529289246,0.02630000002682209,0.17730000615119934,0.1834000051021576,0.19509999454021454,0.0017000000225380063,0.35510000586509705,0.03610000014305115,0.4090000092983246,0.8464000225067139
SRR11742962_521374,Extracellular,Signal peptide,Soluble,0.19599999487400055,0.12600000202655792,0.9334999918937683,0.15369999408721924,0.14589999616146088,0.014000000432133675,0.17839999496936798,0.43070000410079956,0.1979999989271164,0.0012000000569969416,0.4205000102519989,0.0892999991774559,0.29660001397132874,0.7412999868392944
SRR12266064_2045115,Extracellular,Signal peptide,Soluble,0.16339999437332153,0.17139999568462372,0.6732000112533569,0.06650000065565109,0.09279999881982803,0.06440000236034393,0.05770000070333481,0.20550000667572021,0.17419999837875366,0.00989999994635582,0.4429999887943268,0.04470000043511391,0.2896000146865845,0.8353999853134155
WP_054022242.1,Extracellular,Signal peptide,Soluble,0.1080000028014183,0.10130000114440918,0.8618999719619751,0.06769999861717224,0.23749999701976776,0.08950000256299973,0.026799999177455902,0.09839999675750732,0.03830000013113022,0.0035000001080334187,0.3617999851703644,0.05310000106692314,0.26010000705718994,0.8144000172615051
SRR12266064_29780,Extracellular,Signal peptide,Soluble,0.19619999825954437,0.2175000011920929,0.5103999972343445,0.13199999928474426,0.06080000102519989,0.19449999928474426,0.06909999996423721,0.15680000185966492,0.27570000290870667,0.0560000017285347,0.4708999991416931,0.12120000272989273,0.3562000095844269,0.7379999756813049
Q6A0I4,Extracellular,Signal peptide,Soluble,0.17880000174045563,0.10700000077486038,0.9111999869346619,0.062300000339746475,0.18389999866485596,0.0697999969124794,0.14949999749660492,0.09459999948740005,0.09510000050067902,0.0006000000284984708,0.42989999055862427,0.07890000194311142,0.36640000343322754,0.7078999876976013
AR241010_12,Extracellular,Signal peptide,Soluble,0.18320000171661377,0.1412999927997589,0.7851999998092651,0.050700001418590546,0.1818999946117401,0.055399999022483826,0.039500001817941666,0.21320000290870667,0.12269999831914902,0.017000000923871994,0.40230000019073486,0.03920000046491623,0.35679998993873596,0.8188999891281128
ERR11484209_22782,Extracellular,,Soluble,0.3248000144958496,0.3391999900341034,0.9509000182151794,0.17270000278949738,0.14319999516010284,0.08420000225305557,0.0478999987244606,0.13950000703334808,0.03550000116229057,0.013799999840557575,0.3481999933719635,0.03150000050663948,0.31049999594688416,0.8432000279426575
ERR12115642_305438,Extracellular,Signal peptide,Soluble,0.1712000072002411,0.13410000503063202,0.8080000281333923,0.039400000125169754,0.23579999804496765,0.03819999843835831,0.3262999951839447,0.3377000093460083,0.31630000472068787,0.003599999938160181,0.4352000057697296,0.07660000026226044,0.22779999673366547,0.7660999894142151
SRR12266064_85133,Extracellular,Signal peptide,Soluble,0.1306000053882599,0.20479999482631683,0.8259999752044678,0.07689999788999557,0.14059999585151672,0.07100000232458115,0.14069999754428864,0.2401999980211258,0.2696000039577484,0.010599999688565731,0.5060999989509583,0.05469999834895134,0.24009999632835388,0.7958999872207642
SRR12347921_19312,Extracellular,Signal peptide,Soluble,0.1396999955177307,0.2223999947309494,0.6912999749183655,0.09939999878406525,0.12300000339746475,0.0989999994635582,0.09759999811649323,0.1467999964952469,0.1776999980211258,0.00989999994635582,0.4652999937534332,0.07980000227689743,0.3352000117301941,0.7774999737739563
SRR12363492_1178,Extracellular,,Soluble,0.21639999747276306,0.1264999955892563,0.6539000272750854,0.14090000092983246,0.3086000084877014,0.10890000313520432,0.1331000030040741,0.0778999999165535,0.1615000069141388,0.004900000058114529,0.5896999835968018,0.3614000082015991,0.4426000118255615,0.5181000232696533
SRR12678602_62414,Extracellular,Signal peptide,Soluble,0.12449999898672104,0.07249999791383743,0.8934999704360962,0.05339999869465828,0.16439999639987946,0.062199998646974564,0.08959999680519104,0.08129999786615372,0.04569999873638153,0.001500000013038516,0.41909998655319214,0.06700000166893005,0.27129998803138733,0.7792999744415283
SRR12681888_1225841,Extracellular,Signal peptide,Soluble,0.2948000133037567,0.17669999599456787,0.7839999794960022,0.1581999957561493,0.06350000202655792,0.051100000739097595,0.17599999904632568,0.13009999692440033,0.3571999967098236,0.014399999752640724,0.3278000056743622,0.1429000049829483,0.5040000081062317,0.6506999731063843
WP_058088494.1,Extracellular,Signal peptide,Soluble,0.1281999945640564,0.09969999641180038,0.7603999972343445,0.07680000364780426,0.1014999970793724,0.04089999943971634,0.029899999499320984,0.09189999848604202,0.0430000014603138,0.016100000590085983,0.47450000047683716,0.06080000102519989,0.28790000081062317,0.7797999978065491
ASA57064.1,Extracellular,Signal peptide,Soluble,0.1834000051021576,0.1598999947309494,0.6977999806404114,0.051600001752376556,0.21369999647140503,0.019600000232458115,0.40880000591278076,0.21559999883174896,0.17419999837875366,0.000699999975040555,0.498199999332428,0.057500001043081284,0.24549999833106995,0.7657999992370605
