organism,sra_run_count,sra_platforms,sra_strategies,sra_total_bases,sra_date_range
Trametes versicolor,196,ILLUMINA,RNA-Seq; WGS,36757326698.0,2026-2026
Pseudomonas citronellolis,50,ILLUMINA,WGS,4725879069.0,2025-2026
Rhodotorula mucilaginosa,215,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,6849882459.0,2026-2026
Burkholderia cepacia,581,BGISEQ; ILLUMINA,WGS,7839639290.0,2026-2026
Rhizobacter sp.,16,ILLUMINA,WGS,13276372751.0,2024-2026
Brevibacillus agri,46,ILLUMINA,WGS,3904623045.0,2024-2025
Bacillus sp. SC9,0,,,,
Debaryomyces hansenii,216,ILLUMINA; OXFORD_NANOPORE,WGS,19611768581.0,2026-2026
Pycnoporus cinnabarinus,54,ILLUMINA,RNA-Seq; WGS,10499025009.0,2018-2026
Delftia sp.,24,ILLUMINA; OXFORD_NANOPORE,AMPLICON,88353896.0,2025-2026
Epicoccum sp.,16,DNBSEQ; ILLUMINA,AMPLICON; WGS,45636131.0,2024-2025
Plectosphaerella cucumerina,36,DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq,7209552373.0,2025-2026
Polyangium brachysporum,0,,,,
Penicillium roqueforti,160,DNBSEQ; ILLUMINA; OXFORD_NANOPORE,AMPLICON; GBS,82854575584.0,2025-2026
Cladosporium halotolerans,4,DNBSEQ; ILLUMINA; ION_TORRENT; OXFORD_NANOPORE,AMPLICON; RNA-Seq; WGS,6125479587.0,2020-2025
Penicillium brevicompactum,39,DNBSEQ; ILLUMINA; PACBIO_SMRT,AMPLICON; WGS,25420300006.0,2025-2025
Nocardiopsis prasina,67,ILLUMINA,AMPLICON; CLONEEND,49512450.0,2021-2025
Paraphoma radicina,1,PACBIO_SMRT,WGS,4999203828.0,2022-2022
Paraphoma sp.,1,LS454,AMPLICON,521.0,2021-2021
Penicillium oxalicum,790,DNBSEQ,RNA-Seq,31404178500.0,2026-2026
Oleispira antarctica,0,,,,
Paenarthrobacter ureafaciens,9,ILLUMINA; OXFORD_NANOPORE,WGS,7754368234.0,2024-2026
Cellulosimicrobium sp.,17,ILLUMINA,WGS,4378538678.0,2024-2026
Coprinellus aureogranulatus,1,ION_TORRENT,WGS,694034965.0,2022-2022
Curvularia lunata,9,DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq; WGS,14095338547.0,2019-2025
Cordyceps farinosa,6,ILLUMINA; OXFORD_NANOPORE,WGA; WGS,20229637267.0,2023-2025
Pleosporales sp.,5,ILLUMINA; LS454,AMPLICON; WGS,2636.0,2021-2025
Acidovorax delafieldii,189,ILLUMINA; OXFORD_NANOPORE,WGS,6563654712.0,2025-2026
Acremonium sp.,9,ILLUMINA,AMPLICON; OTHER,30372213.0,2021-2025
Acinetobacter septicus,3,ILLUMINA; PACBIO_SMRT,WGS,31416633935.0,2021-2024
Thermomonospora curvata,8,CAPILLARY; ILLUMINA,WGA; WGS,959140349.0,2010-2020
Phanerochaete pseudomagnolia,0,,,,
Phellinus amazonicus,0,,,,
Phlebiopsis flavidoalba,0,,,,
Corynebacterium sp.,22,ILLUMINA,WGS,6131329282.0,2024-2026
Acinetobacter junii,151,ILLUMINA,RNA-Seq,18126637356.0,2026-2026
Actinomucor elegans,11,ILLUMINA,WGS,6010767608.0,2020-2025
Acidimicrobiales bacterium,75,DNBSEQ; ILLUMINA,WGA; WGS,43596478352.0,2025-2026
Kaistella jeonii,2,ILLUMINA; PACBIO_SMRT,WGS,1497212148.0,2016-2017
Thermoascus aurantiacus,31,DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq; WGS,4765520772.0,2021-2025
Amycolatopsis methanolica,3,ILLUMINA,WGS,4431505418.0,2019-2024
Aequorivita sp.,6,DNBSEQ; ILLUMINA,WGA; WGS,2748995130.0,2018-2025
Streptomyces gougerotti,0,,,,
Actinoplanes ianthinogenes,0,,,,
Agrobacterium tumefaciens,589,ILLUMINA,WGS,1150620.0,2026-2026
Alternaria burnsii,9,ILLUMINA,RNA-Seq; WGS,18613961400.0,2023-2026
Alcaligenes sp.,32,ILLUMINA,AMPLICON; WGS,7101223007.0,2025-2026
Streptomyces griseus,967,ILLUMINA,OTHER,4168891352.0,2026-2026
Streptomyces lateritius,3,ILLUMINA; OXFORD_NANOPORE,WGS,4947288321.0,2018-2025
Streptomyces viridosporus,24,CAPILLARY; ILLUMINA,WGS,1722616767.0,2020-2024
Talaromyces verruculosus,12,ILLUMINA,WGS,29985741300.0,2025-2025
Alternaria pseudoeichhorniae,0,,,,
Alternaria sp.,181,DNBSEQ; ILLUMINA,AMPLICON; OTHER,7635.0,2025-2025
Anoxybacillus flavithermus,5,ILLUMINA; PACBIO_SMRT,AMPLICON; OTHER; WGS,1128504734.0,2016-2024
