organism,pubmed_plastic_count,pubmed_total_count
Gloeophyllum abietinum,5.0,7.0
Gloeophyllum odoratum,3.0,9.0
Halomonas cerina,,5.0
Halomonas denitrificans,2.0,7.0
Halomonas gudaonensis,5.0,
Halomonas maura,11.0,15.0
Halomonas pacifica,11.0,26.0
Gloeophyllum striatum,12.0,18.0
Gongronella sp.,12.0,
Gordonia desulfuricans,7.0,7.0
Halopseudomonas formosensis,2.0,2.0
Halopseudomonas pelagia,0.0,0.0
Halopseudomonas yangmingensis,0.0,
Hamadaea flava,0.0,1.0
Hamadaea sp.,0.0,
Exiguobacterium sibiricum,45.0,66.0
Exiguobacterium undae,8.0,14.0
Halobyssothecium obiones,0.0,0.0
Inonotus hispidus,40.0,85.0
Janthinobacterium sp.,46.0,76.0
Heterobasidion sp.,1.0,5.0
Hydropisphaera saulensis,,1.0
Hymenomonas globosa,1.0,1.0
Hypocrea sp.,6.0,
Hypocreales sp.,0.0,1.0
Hypomyces luteovirens,0.0,1.0
Kocuria palustris,12.0,33.0
Kocuria sp.,36.0,72.0
Kribbella albertanoniae,0.0,3.0
Kutzneria sp.,6.0,
Microbacterium oleivorans,10.0,20.0
Microbacterium paraoxydans,22.0,44.0
Microbacterium radiodurans,1.0,2.0
Microbacterium sp.,,383.0
Leptobacillium leptobactrum,0.0,1.0
Leptosphaeria sp.,6.0,20.0
Leucobacter sp.,15.0,29.0
Lactobacillus paracasei,897.0,1651.0
Lactobacillus sp.,395.0,817.0
Lasionectria martinicensis,1.0,1.0
Leiotrametes menziesii,2.0,
Lentinus tigrinus,35.0,54.0
Limnospira indica,9.0,16.0
Linnemannia gamsii,,5.0
Lophiostoma arundinis,1.0,1.0
Lulwoana uniseptata,1.0,3.0
Lentzea albidocapillata,1.0,5.0
Lentzea waywayandensis,4.0,8.0
Lenzites warnieri,0.0,0.0
Lepista nuda,18.0,51.0
Fusarium subglutinans,43.0,91.0
Fusarium tricinctum,,142.0
Fuscoporia sp.,1.0,2.0
Haploporus alabamae,0.0,0.0
Herbihabitans rhizosphaerae,0.0,1.0
Hericium erinaceus,273.0,566.0
Lichtheimia ramosa,32.0,92.0
Lichtheimia sp.,2.0,9.0
Fusarium fujikuroi,277.0,473.0
Flammulina velutipes,304.0,541.0
Fomes meliae,,8.0
Fomitiporia neotropica,0.0,0.0
Eupenicillium rubidurum,0.0,0.0
Eutypa sp.,2.0,6.0
Eutypella sp.,15.0,37.0
Exiguobacterium marinum,5.0,7.0
Malassezia sp.,13.0,63.0
Malbranchea cinnamomea,28.0,30.0
Desulfovibrio desulfuricans,564.0,767.0
Diaporthe italiana,1.0,2.0
Fusarium proliferatum,299.0,580.0
