organism,genus,n_plastics,plastics_degraded,breadth_score,rarity_score,recency_score,evidence_gap_score,novelty_potential,last_year,has_sequence,has_enzyme
Xylaria feejeensis,Xylaria,1,['LDPE'],4.55,95.27,90.0,0,43.18,2023.0,False,True
Burkholderia aenigmatica,Burkholderia,1,['LDPE'],4.55,95.27,90.0,0,43.18,2023.0,False,False
Phaeosphaeria spartinicola,Phaeosphaeria,1,['PCL'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Apiospora marii,Apiospora,1,['PCL'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Phaeosphaeria oryzae,Phaeosphaeria,1,['PCL'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Apiospora rasikravindrae,Apiospora,1,['PCL'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Neocamarosporium solicola,Neocamarosporium,1,['PCL'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Neocamarosporium sp.,Neocamarosporium,1,['PCL'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Neodidymelliopsis longicolla,Neodidymelliopsis,1,['PCL'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Lactobacillus sp.,Lactobacillus,1,['PVC'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Saccharopolyspora flava,Saccharopolyspora,1,['PET'],4.55,99.21,85.0,0,43.17,2022.0,True,True
Marinactinospora thermotolerans,Marinactinospora,1,['PET'],4.55,99.21,85.0,0,43.17,2022.0,True,True
Sinomonas sp.,Sinomonas,1,['PE'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Didymosphaeriaceae sp.,Didymosphaeriaceae,1,['PCL'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Remotididymella sp.,Remotididymella,1,['PCL'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Neodidymelliopsis sp.,Neodidymelliopsis,1,['PCL'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Plesporaceae sp.,Plesporaceae,1,['PCL'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Didymella pinodella,Didymella,1,['PVA'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Didymella sp.,Didymella,1,['PCL'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Lichtheimia ramosa,Lichtheimia,1,['PSS'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Nocardioides zeae,Nocardioides,1,['PLA'],4.55,99.21,85.0,0,43.17,2022.0,False,False
Alternaria sp.,Alternaria,2,"['PCL', 'PU']",9.09,93.69,85.0,0,43.15,2022.0,False,True
Halomonas maura,Halomonas,1,['LDPE'],4.55,94.87,90.0,0,43.08,2023.0,False,False
Halomonas pacifica,Halomonas,1,['LDPE'],4.55,94.87,90.0,0,43.08,2023.0,False,False
Halomonas cerina,Halomonas,1,['LDPE'],4.55,94.87,90.0,0,43.08,2023.0,False,False
Halomonas gudaonensis,Halomonas,1,['LDPE'],4.55,94.87,90.0,0,43.08,2023.0,False,False
Halomonas denitrificans,Halomonas,1,['LDPE'],4.55,94.87,90.0,0,43.08,2023.0,False,False
Bacillus pumilus,Bacillus,13,"['HDPE', 'LDPE', 'P(3HB-co-4HB)', 'PBAT', 'PBS', 'PBS Blend', 'PBSA', 'PCL', 'PCL Blend', 'PES', 'PET', 'PLA', 'PU']",59.09,29.39,90.0,0,43.07,2023.0,True,True
Stemphylium vesicarium,Stemphylium,1,['PCL'],4.55,98.82,85.0,0,43.07,2022.0,False,False
Stemphylium lycopersici,Stemphylium,1,['PCL'],4.55,98.82,85.0,0,43.07,2022.0,False,False
Caldimonas taiwanensis,Caldimonas,1,['PET'],4.55,98.82,85.0,0,43.07,2022.0,True,True
Neosetophoma rosigena,Neosetophoma,1,['PCL'],4.55,98.82,85.0,0,43.07,2022.0,False,False
Neosetophoma poaceicola,Neosetophoma,1,['PCL'],4.55,98.82,85.0,0,43.07,2022.0,False,False
Pyrenochaetopsis paucisetosa,Pyrenochaetopsis,1,['PCL'],4.55,98.82,85.0,0,43.07,2022.0,False,False
